"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 10 03:27:03 UTC 2023","Sun Dec 10 03:27:21 UTC 2023","17770","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sun Dec 10 04:28:38 UTC 2023","Sun Dec 10 04:28:41 UTC 2023","2981","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun Dec 10 04:28:41 UTC 2023","Sun Dec 10 04:28:50 UTC 2023","8991","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sun Dec 10 02:40:50 UTC 2023","Sun Dec 10 02:40:58 UTC 2023","7902","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Dec 10 03:34:41 UTC 2023","Sun Dec 10 03:34:51 UTC 2023","9724","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sun Dec 10 02:38:16 UTC 2023","Sun Dec 10 02:38:16 UTC 2023","154","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sun Dec 10 04:09:06 UTC 2023","Sun Dec 10 04:09:08 UTC 2023","1654","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sun Dec 10 03:24:28 UTC 2023","Sun Dec 10 03:24:30 UTC 2023","2162","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun Dec 10 03:14:53 UTC 2023","Sun Dec 10 03:16:02 UTC 2023","69312","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sun Dec 10 03:51:38 UTC 2023","Sun Dec 10 03:51:42 UTC 2023","4232","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sun Dec 10 03:23:38 UTC 2023","Sun Dec 10 03:23:50 UTC 2023","11681","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Dec 10 03:10:25 UTC 2023","Sun Dec 10 03:10:25 UTC 2023","386","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Dec 10 02:38:12 UTC 2023","Sun Dec 10 02:38:16 UTC 2023","3268","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sun Dec 10 03:53:43 UTC 2023","Sun Dec 10 03:53:46 UTC 2023","2500","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sun Dec 10 02:40:02 UTC 2023","Sun Dec 10 02:40:19 UTC 2023","16635","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Dec 10 03:12:25 UTC 2023","Sun Dec 10 03:12:29 UTC 2023","3970","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sun Dec 10 02:36:56 UTC 2023","Sun Dec 10 02:37:02 UTC 2023","6171","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Dec 10 04:28:36 UTC 2023","Sun Dec 10 04:28:38 UTC 2023","1692","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Dec 10 03:24:01 UTC 2023","Sun Dec 10 03:24:28 UTC 2023","26682","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sun Dec 10 04:06:10 UTC 2023","Sun Dec 10 04:06:24 UTC 2023","13463","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sun Dec 10 03:53:47 UTC 2023","Sun Dec 10 03:53:48 UTC 2023","1146","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sun Dec 10 03:12:17 UTC 2023","Sun Dec 10 03:12:25 UTC 2023","7614","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sun Dec 10 03:55:19 UTC 2023","Sun Dec 10 03:55:26 UTC 2023","6908","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Dec 10 03:10:03 UTC 2023","Sun Dec 10 03:10:22 UTC 2023","19297","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sun Dec 10 03:09:29 UTC 2023","Sun Dec 10 03:09:34 UTC 2023","4977","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Dec 10 03:51:35 UTC 2023","Sun Dec 10 03:51:38 UTC 2023","2530","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
